Pt_name,East,North,Elevation,Depth,Code
bathy_tfeq,406953.356000000028871,7400257.468999999575317,-3.584000000000000,-1.940000000000000, 
bathy_tfer,406952.157000000006519,7400257.129999999888241,-3.584000000000000,-1.880000000000000, 
bathy_tfes,406951.010999999998603,7400256.923000000417233,-3.483000000000000,-2.060000000000000, 
bathy_tfet,406949.851000000024214,7400256.521999999880791,-3.564000000000000,-1.930000000000000, 
bathy_tfeu,406948.613000000012107,7400256.183000000193715,-3.511000000000000,-2.060000000000000, 
bathy_tfev,406947.667000000015832,7400255.815000000409782,-3.491000000000000,-2.070000000000000, 
bathy_tfew,406946.456000000005588,7400255.406999999657273,-3.510000000000000,-2.090000000000000, 
bathy_tfex,406945.215000000025611,7400254.934000000357628,-3.552000000000000,-2.060000000000000, 
bathy_tfey,406943.613000000012107,7400254.502000000327826,-3.558000000000000,-2.090000000000000, 
bathy_tfez,406942.634000000020023,7400254.110999999567866,-3.581000000000000,-2.120000000000000, 
bathy_tffa,406941.630999999993946,7400253.859000000171363,-3.573000000000000,-2.150000000000000, 
bathy_tffb,406940.598999999987427,7400253.594999999739230,-3.590000000000000,-2.250000000000000, 
bathy_tffc,406939.541000000026543,7400253.258000000379980,-3.550000000000000,-2.200000000000000, 
bathy_tffd,406938.477000000013504,7400253.048999999649823,-3.481000000000000,-2.410000000000000, 
bathy_tffe,406937.439000000013039,7400252.708999999798834,-3.551000000000000,-2.280000000000000, 
bathy_tfff,406936.395000000018626,7400252.447999999858439,-3.542000000000000,-2.340000000000000, 
bathy_tffg,406935.347000000008848,7400252.116999999620020,-3.535000000000000,-2.350000000000000, 
bathy_tffh,406934.281000000017229,7400251.807000000029802,-3.564000000000000,-2.380000000000000, 
bathy_tffi,406933.250999999989290,7400251.457999999634922,-3.594000000000000,-2.390000000000000, 
bathy_tffj,406932.190000000002328,7400251.059000000357628,-3.602000000000000,-2.370000000000000, 
bathy_tffk,406931.147999999986496,7400250.782999999821186,-3.568000000000000,-2.470000000000000, 
bathy_tffl,406930.134000000020023,7400250.419999999925494,-3.539000000000000,-2.600000000000000, 
bathy_tffm,406929.087999999988824,7400250.144999999552965,-3.517000000000000,-2.630000000000000, 
bathy_tffn,406928.112000000022817,7400249.838999999687076,-3.563000000000000,-2.630000000000000, 
bathy_tffo,406927.146000000007916,7400249.533999999985099,-3.590000000000000,-2.720000000000000, 
bathy_tffp,406925.981000000028871,7400248.912999999709427,-3.587000000000000,-2.830000000000000, 
bathy_tffq,406925.139000000024680,7400248.364000000059605,-3.592000000000000,-2.890000000000000, 
bathy_tffr,406924.065999999991618,7400247.600999999791384,-3.548000000000000,-3.020000000000000, 
